model,num_qubits,cut_cost,k
Circuit,8,33,4
Circuit,8,27,4
Circuit,8,27,4
Circuit,16,43,4
Circuit,16,49,4
Circuit,16,45,4
Circuit,32,90,4
Circuit,32,117,4
Circuit,32,65,4
Circuit,64,193,4
Circuit,64,269,4
Circuit,64,182,4
Circuit,128,645,4
Circuit,128,664,4
Circuit,128,741,4
MBQC,8,180,4
MBQC,8,180,4
MBQC,8,180,4
MBQC,16,240,4
MBQC,16,220,4
MBQC,16,220,4
MBQC,32,332,4
MBQC,32,332,4
MBQC,32,332,4
MBQC,64,693,4
MBQC,64,693,4
MBQC,64,693,4
MBQC,128,1228,4
MBQC,128,1228,4
MBQC,128,1190,4
QW,8,60,4
QW,8,60,4
QW,8,60,4
QW,16,80,4
QW,16,60,4
QW,16,80,4
QW,32,193,4
QW,32,193,4
QW,32,193,4
QW,64,497,4
QW,64,497,4
QW,64,497,4
QW,128,935,4
QW,128,897,4
QW,128,935,4
QCA,8,58,4
QCA,8,58,4
QCA,8,58,4
QCA,16,240,4
QCA,16,240,4
QCA,16,240,4
QCA,32,604,4
QCA,32,472,4
QCA,32,625,4
QCA,64,1009,4
QCA,64,1089,4
QCA,64,1009,4
QCA,128,2353,4
QCA,128,2389,4
QCA,128,2409,4
