test,k,cap,num_qubits,num_nodes,num_edges,cut_cost_temporal,avg_parallelism_temporal,avg_fair_parallelism_temporal,balance_ratio_temporal,method_temporal,cut_cost_baseline,avg_parallelism_baseline,avg_fair_parallelism_baseline,balance_ratio_baseline,method_baseline,error,cut_cost_ratio,avg_parallelism_ratio,avg_fair_parallelism_ratio,balance_ratio_ratio
size_16,4,4,16,336,415,33.0,19.761904761904763,15.095238095238095,0.569620253164557,temporal_greedy,15.0,19.761904761904763,19.761904761904763,1.0,kahypar_cutter,,2.2,1.0,0.7638554216867469,0.569620253164557
size_32,4,8,32,672,831,56.0,39.57142857142857,31.047619047619047,0.66,temporal_greedy,20.0,39.57142857142857,39.57142857142857,1.0,kahypar_cutter,,2.8,1.0,0.7845968712394705,0.66
size_64,4,16,64,1344,1675,136.0,79.76190476190476,47.714285714285715,0.5572519083969466,temporal_greedy,20.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,,6.8,1.0,0.5982089552238806,0.5572519083969466
size_128,4,32,128,2688,3332,468.0,158.66666666666666,136.23809523809524,0.8426073131955485,temporal_greedy,16.0,158.66666666666666,158.66666666666666,1.0,kahypar_cutter,,29.25,1.0,0.8586434573829532,0.8426073131955485
qpu_2,2,32,64,1344,1675,242.0,79.76190476190476,69.76190476190476,0.9932203389830508,temporal_greedy,6.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,,40.333333333333336,1.0,0.8746268656716418,0.9932203389830508
qpu_4,4,16,64,1344,1675,136.0,79.76190476190476,47.714285714285715,0.5572519083969466,temporal_greedy,20.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,,6.8,1.0,0.5982089552238806,0.5572519083969466
qpu_6,6,11,64,1344,1675,157.0,79.76190476190476,49.142857142857146,0.4587628865979381,temporal_greedy,27.0,79.76190476190476,79.76190476190476,0.9090909090909091,kahypar_cutter,,5.814814814814815,1.0,0.6161194029850747,0.5046391752577319
qpu_8,8,8,64,1344,1675,209.0,79.76190476190476,49.142857142857146,0.3586206896551724,temporal_greedy,43.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,,4.8604651162790695,1.0,0.6161194029850747,0.3586206896551724
model_Circuit,4,16,64,1024,1260,129.0,78.75,49.625,0.6666666666666666,temporal_greedy,15.0,78.75,78.75,1.0,kahypar_cutter,,8.6,1.0,0.6301587301587301,0.6666666666666666
model_MBQC,4,16,64,960,1875,135.0,125.0,125.0,1.0,temporal_greedy,135.0,125.0,125.0,1.0,kahypar_cutter,,1.0,1.0,1.0,1.0
model_QW,4,16,64,960,945,45.0,63.0,63.0,1.0,temporal_greedy,45.0,63.0,63.0,1.0,kahypar_cutter,,1.0,1.0,1.0,1.0
model_QCA,4,16,64,960,1680,450.0,112.0,112.0,1.0,temporal_greedy,240.0,112.0,112.0,1.0,kahypar_cutter,,1.875,1.0,1.0,1.0
