test,k,cap,num_qubits,num_nodes,num_edges,cut_cost,avg_parallelism,avg_fair_parallelism,balance_ratio,method,error
size_16,4,4,16,336,415,15.0,19.761904761904763,19.761904761904763,1.0,kahypar_cutter,
size_32,4,8,32,672,831,20.0,39.57142857142857,39.57142857142857,1.0,kahypar_cutter,
size_64,4,16,64,1344,1675,20.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,
size_128,4,32,128,2688,3332,16.0,158.66666666666666,158.66666666666666,1.0,kahypar_cutter,
qpu_2,2,32,64,1344,1675,6.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,
qpu_4,4,16,64,1344,1675,20.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,
qpu_6,6,11,64,1344,1675,27.0,79.76190476190476,79.76190476190476,0.9090909090909091,kahypar_cutter,
qpu_8,8,8,64,1344,1675,43.0,79.76190476190476,79.76190476190476,1.0,kahypar_cutter,
model_Circuit,4,16,64,1024,1260,15.0,78.75,78.75,1.0,kahypar_cutter,
model_MBQC,4,16,64,960,1875,135.0,125.0,125.0,1.0,kahypar_cutter,
model_QW,4,16,64,960,945,45.0,63.0,63.0,1.0,kahypar_cutter,
model_QCA,4,16,64,960,1680,240.0,112.0,112.0,1.0,kahypar_cutter,
