overhead,cut_cost,num_qubits,k,cap
1.0,194,50,4,12
1.0,114,50,4,12
1.0,203,50,4,12
1.0,121,50,4,12
1.0,76,50,4,12
1.1,195,50,4,13
1.1,118,50,4,13
1.1,195,50,4,13
1.1,116,50,4,13
1.1,95,50,4,13
1.2,240,50,4,15
1.2,134,50,4,15
1.2,223,50,4,15
1.2,107,50,4,15
1.2,146,50,4,15
1.3,253,50,4,16
1.3,123,50,4,16
1.3,242,50,4,16
1.3,105,50,4,16
1.3,163,50,4,16
1.4,264,50,4,17
1.4,145,50,4,17
1.4,217,50,4,17
1.4,119,50,4,17
1.4,186,50,4,17
1.5,269,50,4,18
1.5,173,50,4,18
1.5,219,50,4,18
1.5,130,50,4,18
1.5,227,50,4,18
1.6,281,50,4,20
1.6,227,50,4,20
1.6,242,50,4,20
1.6,201,50,4,20
1.6,259,50,4,20
1.7,290,50,4,21
1.7,232,50,4,21
1.7,248,50,4,21
1.7,219,50,4,21
1.7,263,50,4,21
1.8,262,50,4,22
1.8,252,50,4,22
1.8,253,50,4,22
1.8,222,50,4,22
1.8,277,50,4,22
1.9,275,50,4,23
1.9,266,50,4,23
1.9,266,50,4,23
1.9,227,50,4,23
1.9,279,50,4,23
2.0,289,50,4,25
2.0,262,50,4,25
2.0,271,50,4,25
2.0,272,50,4,25
2.0,294,50,4,25
