algorithm,count,mean_ratio,median_ratio,std_ratio,min_ratio,max_ratio,mean_optimal_cost,mean_heuristic_cost
tsp,3,3.5714285714285716,3.571428571428572,5.438959822042073e-16,3.571428571428572,3.571428571428572,7.0,25.0
vqe,9,3.3359788359788363,4.0,1.363625102070664,1.1666666666666667,5.0,5.0,14.777777777777779
qpeexact,12,3.0875,2.5,2.4224447643576177,1.1,8.0,4.25,7.75
dj,12,2.6666666666666665,2.6666666666666665,0.8528028654224418,1.0,4.0,2.8333333333333335,6.833333333333333
ghz,12,2.595833333333333,2.5,0.8619371241921339,1.25,4.0,3.1666666666666665,7.5
qpeinexact,12,2.5916666666666663,2.2,1.5518073529294996,1.1,5.5,4.75,8.583333333333334
wstate,12,2.5575396825396823,2.2857142857142856,1.0194186692144667,1.1666666666666667,4.333333333333333,4.5,11.0
pricingcall,3,2.5454545454545454,2.5454545454545454,0.0,2.5454545454545454,2.5454545454545454,11.0,28.0
pricingput,3,2.5454545454545454,2.5454545454545454,0.0,2.5454545454545454,2.5454545454545454,11.0,28.0
ae,12,2.525297619047619,2.4285714285714284,1.0966756194029983,1.1428571428571428,4.25,7.5,19.25
qft,9,2.314814814814815,2.1666666666666665,0.847563683466242,1.0,3.6666666666666665,4.333333333333333,9.444444444444445
qftentangled,12,2.1229166666666663,2.25,0.7955219127317384,1.0,3.4,8.25,15.25
grover-noancilla,12,2.077083333333333,1.8888888888888888,0.5955268689853563,1.125,3.25,28.583333333333332,54.166666666666664
qwalk-noancilla,6,2.0495391705069124,2.2419354838709675,0.5146141981529482,1.0,2.2857142857142856,35.666666666666664,77.16666666666667
grover-v-chain,12,2.035175120772947,1.8888888888888888,0.6153241907304762,1.125,3.25,23.333333333333332,41.416666666666664
graphstate,9,1.9166666666666667,2.25,0.8068715304598785,1.0,3.0,4.555555555555555,7.888888888888889
qaoa,9,1.8037037037037038,1.5,0.8069336870577669,1.0,3.2,7.0,11.777777777777779
portfolioqaoa,9,1.7142857142857144,1.7142857142857142,0.8748177652797064,1.0,3.142857142857143,16.444444444444443,23.11111111111111
portfoliovqe,9,1.7142857142857142,1.7142857142857142,0.8748177652797063,1.0,3.142857142857143,16.444444444444443,23.11111111111111
groundstate,3,1.7,1.7,0.0,1.7,1.7,10.0,17.0
qnn,12,1.6739020270270275,1.1666666666666667,0.7682669024899098,1.0625,3.1,18.5,28.083333333333332
qwalk-v-chain,6,1.6693121693121693,1.4814814814814814,0.5125861917906541,1.0,2.2857142857142856,18.166666666666668,27.666666666666668
routing,3,1.25,1.25,0.0,1.25,1.25,4.0,5.0
